,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,ESTU_CONSECUTIVO,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,ESTU_PRIVADO_LIBERTAD,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION.E
366918,TI,COLOMBIA,F,10/10/2000,SB11201820472113,COLOMBIA,No,Estrato 2,1 a 2,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,60517,INSTITUCIÓN EDUCATIVA RURAL GIOVANNI MONTINI,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA RURAL GIOVANNI MONTINI,S,RURAL,MAÑANA,17001,MANIZALES,N,64,87,3,52,56,3,53,65,2,55,71,2,42,24,A-,275,68,2,33.04413337,NSE1,PUBLICAR,NO
366948,TI,COLOMBIA,F,24/08/2002,SB11201820269738,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,43083,INSTITUCIÓN EDUCATIVA NTRA SEÑORA DE FATIMA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA NTRA SEÑORA DE FATIMA,S,URBANO,MAÑANA,17001,MANIZALES,N,73,98,4,70,95,3,67,95,3,74,99,4,66,90,A2,353,98,3,66.94607721,NSE4,PUBLICAR,GENERACION E - GRATUIDAD
366975,TI,COLOMBIA,F,15/07/2001,SB11201820563128,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,6080,INSTITUCION EDUCATIVA MARISCAL SUCRE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA MARISCAL SUCRE,S,URBANO,MAÑANA,17001,MANIZALES,N,41,15,2,37,15,2,45,35,2,36,17,1,35,8,A-,197,15,3,51.11174746,NSE2,PUBLICAR,NO
366990,TI,COLOMBIA,M,21/10/2001,SB11201820418916,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,342089,INSTITUCIÓN EDUCATIVA RURAL GRANADA,MIXTO,OFICIAL,A,-,ACADÉMICO,CENTRO EDUCATIVO RURAL GRANADA PRINCIPAL,S,RURAL,UNICA,17001,MANIZALES,N,46,27,2,46,38,2,45,36,2,37,20,1,45,33,A-,218,29,2,45.47464185,NSE2,PUBLICAR,NO
367057,TI,COLOMBIA,F,23/05/2000,SB11201820418002,COLOMBIA,No,Estrato 3,5 a 6,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,225177,INSTITUCION EDUCATIVA SIETE DE AGOSTO,MIXTO,OFICIAL,A,-,ACADÉMICO,COLEGIO SIETE DE AGOSTO,S,URBANO,UNICA,17001,MANIZALES,N,45,23,2,43,29,2,48,45,2,33,10,1,49,47,A1,214,26,2,56.81564578,NSE3,PUBLICAR,NO
367060,TI,COLOMBIA,F,19/06/2001,SB11201820041997,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,26 A 100 LIBROS,No leo por entretenimiento,Más de 3 horas,86389,INSTITUCION EDUCATIVA SANTO DOMINGO SAVIO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SANTO DOMINGO SAVIO - SEDE PRINCIPAL,S,URBANO,MAÑANA,17174,CHINCHINÁ,N,55,60,3,56,69,3,53,64,2,54,67,2,58,76,A2,274,68,3,48.81761886,NSE2,PUBLICAR,NO
367066,TI,COLOMBIA,F,03/01/2000,SB11201820140216,COLOMBIA,No,Estrato 6,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,225185,INSTITUCIÓN EDUCATIVA NORMAL SUP DE MANIZALES,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCIÓN EDUCATIVA NORMAL SUP DE MANIZALES,S,URBANO,UNICA,17001,MANIZALES,N,64,87,3,54,63,3,58,78,3,68,95,3,61,83,A2,305,85,3,66.40583784,NSE4,PUBLICAR,GENERACION E - GRATUIDAD
367068,TI,COLOMBIA,F,27/01/2002,SB11201820022475,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,No leo por entretenimiento,Más de 3 horas,27136,INSTITUCIÓN EDUCATIVA MALABAR,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA MALABAR,S,URBANO,MAÑANA,17001,MANIZALES,N,47,30,2,51,52,3,36,11,1,46,47,2,51,55,A1,227,35,2,55.71832333,NSE3,PUBLICAR,NO
367112,TI,COLOMBIA,F,07/11/2001,SB11201820273537,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,6304,INSTITUCION EDUCATIVA AURELIANO FLOREZ CARDONA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCIÓN EDUCATIVA AURELIANO FLOREZ CARDONA  - SEDE PRINCIPAL,S,URBANO,MAÑANA,17042,ANSERMA,N,62,82,3,49,46,2,57,74,3,62,87,3,75,97,B1,294,79,2,59.81165972,NSE3,PUBLICAR,NO
367119,CC,COLOMBIA,F,18/09/1998,SB11201820550619,COLOMBIA,No,Estrato 1,5 a 6,Si,No,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,158196,INSTITUCION EDUCATIVA LA SAGRADA FAMILIA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LA SAGRADA FAMILIA - SEDE PRINCIPAL,S,URBANO,SABATINA,17524,PALESTINA,N,57,65,3,47,40,2,54,66,2,48,51,2,51,57,A1,257,57,2,42.53306736,NSE2,PUBLICAR,NO
367145,TI,COLOMBIA,F,23/08/2000,SB11201820095754,COLOMBIA,No,Estrato 3,5 a 6,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,34140,INSTITUCIÓN EDUCATIVA LA SULTANA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA LA SULTANA,S,URBANO,MAÑANA,17001,MANIZALES,N,55,58,3,63,85,3,66,94,3,64,90,3,56,72,A1,308,86,2,58.58988029,NSE3,PUBLICAR,NO
367154,TI,COLOMBIA,F,26/03/2002,SB11201820151716,COLOMBIA,No,Estrato 2,7 a 8,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,125641,INSTITUCION EDUCATIVA SANTA LUISA DE MARILLAC,FEMENINO,OFICIAL,A,-,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SANTA LUISA DE MARILLAC - SEDE PRINCIPAL,S,URBANO,MAÑANA,17873,VILLAMARÍA,N,62,81,3,59,76,3,57,77,3,58,77,3,54,65,A1,293,79,3,53.38036151,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
367167,TI,COLOMBIA,F,20/06/2001,SB11201820391802,COLOMBIA,Si,Estrato 1,3 a 4,No,Si,No,0 A 10 LIBROS,Entre 1 y 2 horas,Entre 30 y 60 minutos,6601,INSTITUTO MONSEÑOR ALFONSO DE LOS RIOS,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUTO MONSEÑOR ALFONSO DE LOS RIOS - SEDE PRINCIPAL,S,RURAL,MAÑANA,17524,PALESTINA,N,56,64,3,44,33,2,54,66,2,52,63,2,49,49,A1,257,56,2,33.59454373,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
367194,TI,COLOMBIA,F,19/05/2001,SB11201820164239,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Entre 1 y 3 horas,140376,INSTITUCIÓN EDUCATIVA SAN JORGE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA SAN JORGE,S,URBANO,MAÑANA,17001,MANIZALES,N,59,72,3,62,83,3,61,85,3,45,43,2,54,67,A1,283,73,3,61.70251869,NSE3,PUBLICAR,NO
367230,CC,COLOMBIA,F,22/02/2000,SB11201820516793,COLOMBIA,No,Estrato 3,1 a 2,Si,Si,Si,-,No leo por entretenimiento,Más de 3 horas,126557,INSTITUTO LATINOAMERICANO,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUTO LATINOAMERICANO - SEDE PRINCIPAL,S,URBANO,MAÑANA,17001,MANIZALES,N,53,51,3,42,27,2,40,20,1,38,22,1,47,40,A-,218,29,3,58.40739271,NSE3,PUBLICAR,NO
367239,CC,COLOMBIA,F,02/02/2000,SB11201820314225,COLOMBIA,No,Estrato 1,5 a 6,No,No,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,57190,INSTITUCION EDUCATIVA LLANADAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA LLANADAS - SEDE PRINCIPAL,S,RURAL,COMPLETA,17433,MANZANARES,N,46,27,2,42,26,2,49,51,2,39,25,1,41,22,A-,219,29,1,41.20967405,NSE2,PUBLICAR,NO
367241,TI,COLOMBIA,F,24/04/2001,SB11201820039539,COLOMBIA,No,Estrato 2,1 a 2,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,666586,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON - SEDE PRINCIPAL,S,URBANO,UNICA,17050,ARANZAZU,N,39,9,2,47,40,2,37,12,1,36,15,1,42,24,A-,200,17,2,48.93159333,NSE2,PUBLICAR,NO
367327,CC,COLOMBIA,F,05/01/2000,SB11201820294048,COLOMBIA,No,Estrato 1,5 a 6,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,226845,INSTITUCION EDUCATIVA PIO XII,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA PIO XII - SEDE PRINCIPAL,S,URBANO,UNICA,17653,SALAMINA,N,61,80,3,64,88,3,58,79,3,52,64,2,54,66,A1,292,78,2,36.78331845,NSE1,PUBLICAR,NO
367328,TI,COLOMBIA,F,06/11/2001,SB11201820166028,COLOMBIA,No,Estrato 2,3 a 4,No,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,No Navega Internet,6320,INSTITUCION EDUCATIVA PIO XI,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA PIO XI - SEDE PRINCIPAL,S,URBANO,COMPLETA,17050,ARANZAZU,N,53,53,3,67,92,3,66,94,3,61,83,3,56,71,A1,307,85,2,49.60197847,NSE2,PUBLICAR,NO
367329,TI,COLOMBIA,F,15/04/2001,SB11201820162970,COLOMBIA,No,Estrato 4,5 a 6,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,140376,INSTITUCIÓN EDUCATIVA SAN JORGE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA SAN JORGE,S,URBANO,MAÑANA,17001,MANIZALES,N,63,84,3,57,72,3,53,65,2,64,90,3,53,62,A1,294,79,3,60.55317168,NSE3,PUBLICAR,NO
367344,TI,COLOMBIA,M,11/07/2001,SB11201820202166,COLOMBIA,No,Estrato 2,1 a 2,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,666628,INSTITUCION EDUCATIVA MONSEÑOR ANTONIO JOSE GIRALDO GOMEZ,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA MONSEÑOR ANTONIO JOSE GIRALDO GOMEZ - SEDE PRINCIPAL,S,URBANO,UNICA,17388,LA MERCED,N,58,71,3,51,54,3,54,65,2,53,65,2,40,18,A-,265,62,2,52.88741211,NSE3,PUBLICAR,NO
367379,CC,COLOMBIA,F,13/07/1997,SB11201820556421,COLOMBIA,No,-,3 a 4,-,-,Si,-,-,-,89649,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,NOCHE,17777,SUPÍA,N,43,19,2,45,35,2,46,38,2,38,21,1,30,2,A-,210,23,2,44.72986639,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
367385,CR,COLOMBIA,F,13/05/2001,SB11201820320160,COLOMBIA,No,Estrato 2,5 a 6,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,6650,INSTITUCION EDUCATIVA PENSILVANIA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCIÓN EDUCATIVA PENSILVANIA - SEDE PRINCIPAL,S,URBANO,COMPLETA,17541,PENSILVANIA,N,67,92,4,69,95,3,63,90,3,67,93,3,58,76,A2,329,93,2,46.26935123,NSE2,PUBLICAR,NO
367389,TI,COLOMBIA,F,09/11/2001,SB11201820549100,COLOMBIA,No,Estrato 2,3 a 4,No,No,Si,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,38703,INSTITUCION EDUCATIVA ALFONSO LOPEZ,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA ALFONSO LOPEZ - SEDE PRINCIPAL,S,URBANO,MAÑANA,17380,LA DORADA,N,52,49,3,56,67,3,53,63,2,48,52,2,63,87,A2,265,62,2,49.27646075,NSE2,PUBLICAR,NO
367440,TI,COLOMBIA,F,23/11/2001,SB11201820281294,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Más de 3 horas,42341,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,S,URBANO,MAÑANA,17001,MANIZALES,N,58,68,3,64,88,3,51,57,2,37,20,1,51,54,A1,262,60,3,52.06869293,NSE3,PUBLICAR,NO
367447,TI,COLOMBIA,F,10/10/2001,SB11201820240331,COLOMBIA,No,-,-,-,-,-,-,-,-,5926,COL.  FRANCISCANO AGUSTIN GEMELLI,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COL.  FRANCISCANO AGUSTIN GEMELLI,S,URBANO,COMPLETA,17001,MANIZALES,N,72,98,4,67,93,3,63,89,3,69,95,3,75,97,B1,342,96,4,NA,-,PUBLICAR,NO
367512,TI,COLOMBIA,F,03/04/2001,SB11201820289993,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,42341,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,S,URBANO,MAÑANA,17001,MANIZALES,N,61,79,3,70,96,3,71,99,4,60,83,3,55,68,A1,323,92,3,56.28010874,NSE3,PUBLICAR,NO
367574,TI,COLOMBIA,F,13/09/2001,SB11201820094476,COLOMBIA,No,Estrato 4,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,6122,INST. TECNICO  SAN RAFAEL,MASCULINO,NO OFICIAL,A,N,TÉCNICO,INST. TECNICO  SAN RAFAEL,S,URBANO,COMPLETA,17001,MANIZALES,N,75,99,4,62,83,3,77,100,4,80,100,4,79,99,B+,370,100,3,61.29575094,NSE3,PUBLICAR,NO
367626,TI,COLOMBIA,F,07/08/1999,SB11201820577866,COLOMBIA,No,Estrato 1,1 a 2,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,84764,INSTITUCION EDUCATIVA COLOMBIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA COLOMBIA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17873,VILLAMARÍA,N,40,12,2,39,20,2,45,36,2,36,17,1,43,28,A-,201,18,2,37.70066476,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
367646,TI,COLOMBIA,F,20/11/2000,SB11201820473606,COLOMBIA,No,Estrato 3,5 a 6,Si,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,164269,COLEGIO BOSTON,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COLEGIO BOSTON - SEDE PRINCIPAL,S,URBANO,TARDE,17001,MANIZALES,N,54,55,3,46,39,2,45,36,2,46,45,2,58,76,A2,243,47,3,55.43591591,NSE3,PUBLICAR,NO
367651,TI,COLOMBIA,F,05/05/2002,SB11201820428675,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,6361,INSTITUCION EDUCATIVA BARTOLOME MITRE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA BARTOLOME MITRE - SEDE PRINCIPAL,S,URBANO,MAÑANA,17174,CHINCHINÁ,N,54,54,3,56,69,3,53,63,2,45,43,2,45,34,A-,257,57,2,46.39112204,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
367652,TI,COLOMBIA,F,28/03/2002,SB11201820030566,COLOMBIA,No,Estrato 4,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,6031,COL. SANTA INÉS,FEMENINO,NO OFICIAL,A,N,ACADÉMICO,COL. SANTA INÉS,S,URBANO,COMPLETA,17001,MANIZALES,N,61,80,3,48,43,2,42,27,2,41,31,2,56,71,A1,243,47,4,68.84860925,NSE4,PUBLICAR,NO
367665,TI,COLOMBIA,F,02/01/2001,SB11201820213373,COLOMBIA,No,Estrato 2,3 a 4,No,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,5983,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI,S,URBANO,MAÑANA,17001,MANIZALES,N,72,98,4,66,91,3,70,98,3,65,92,3,65,89,A2,340,96,3,51.7364304,NSE3,PUBLICAR,NO
367684,TI,COLOMBIA,F,11/01/2002,SB11201820017506,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,No leo por entretenimiento,Más de 3 horas,86389,INSTITUCION EDUCATIVA SANTO DOMINGO SAVIO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SANTO DOMINGO SAVIO - SEDE PRINCIPAL,S,URBANO,MAÑANA,17174,CHINCHINÁ,N,52,48,3,53,58,3,42,27,2,39,24,1,41,20,A-,230,38,3,58.35474455,NSE3,PUBLICAR,NO
367710,TI,COLOMBIA,M,13/12/2000,SB11201820589122,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,11 A 25 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,6742,INSTITUCION EDUCATIVA LOS FUNDADORES,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LOS FUNDADORES - SEDE PRINCIPAL,S,URBANO,MAÑANA,17614,RIOSUCIO,N,49,39,2,43,30,2,47,44,2,38,23,1,51,57,A1,224,33,2,57.046887,NSE3,PUBLICAR,NO
367751,TI,COLOMBIA,M,15/06/2002,SB11201820104699,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,6551,INSTITUCION EDUCATIVA NEIRA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCIÓN EDUCATIVA NEIRA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17486,NEIRA,N,62,83,3,49,45,2,46,40,2,42,33,2,60,81,A2,253,54,2,52.16702053,NSE3,PUBLICAR,NO
367835,TI,COLOMBIA,F,16/05/2001,SB11201820242664,COLOMBIA,No,Estrato 1,3 a 4,No,Si,No,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,661314,INSTITUCION EDUCATIVA LA SAGRADA FAMILIA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LA SAGRADA FAMILIA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17524,PALESTINA,N,58,69,3,54,62,3,55,69,2,57,75,3,51,56,A1,278,70,2,43.63107318,NSE2,PUBLICAR,NO
367842,TI,COLOMBIA,F,12/11/2001,SB11201820174487,COLOMBIA,No,Estrato 1,3 a 4,No,No,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,No Navega Internet,174789,INSTITUCION EDUCATIVA EDUARDO GOMEZ ARRUBLA,MIXTO,OFICIAL,A,-,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA EDUARDO GOMEZ ARRUBLA - SEDE PRINCIPAL,S,RURAL,MAÑANA,17174,CHINCHINÁ,N,57,65,3,57,70,3,58,77,3,55,71,2,50,51,A1,281,72,2,45.68712712,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
367843,TI,COLOMBIA,F,20/09/2001,SB11201820141862,COLOMBIA,No,Estrato 4,3 a 4,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Entre 1 y 3 horas,40576,COL. EUGENIA RAVASCO,FEMENINO,NO OFICIAL,A,N,TÉCNICO/ACADÉMICO,COL. EUGENIA RAVASCO,S,URBANO,MAÑANA,17001,MANIZALES,N,65,88,3,62,84,3,60,84,3,56,74,3,72,95,B1,308,86,3,75.93206692,NSE4,PUBLICAR,NO
367875,TI,COLOMBIA,F,28/04/2001,SB11201820010737,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,71563,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,MAÑANA,17777,SUPÍA,N,56,63,3,39,20,2,53,63,2,52,64,2,47,42,A-,249,51,2,49.09607469,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
367897,TI,COLOMBIA,F,24/06/2000,SB11201820176044,COLOMBIA,No,Estrato 1,3 a 4,Si,Si,Si,11 A 25 LIBROS,Más de 2 horas,30 minutos o menos,116996,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,S,URBANO,MAÑANA,17001,MANIZALES,N,46,27,2,38,17,2,34,6,1,33,10,1,40,19,A-,190,11,2,50.17241914,NSE2,PUBLICAR,NO
367900,TI,COLOMBIA,F,06/07/2001,SB11201820281901,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,42341,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,S,URBANO,MAÑANA,17001,MANIZALES,N,66,90,4,67,92,3,65,92,3,67,94,3,61,82,A2,329,93,3,54.68939885,NSE3,PUBLICAR,NO
367917,TI,COLOMBIA,F,01/09/2001,SB11201820287591,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,5918,COL. FILIPENSE NTRA SRA DE LOURDES,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COL. FILIPENSE NTRA SRA DE LOURDES,S,URBANO,COMPLETA,17001,MANIZALES,N,60,75,3,53,59,3,56,72,3,56,73,3,58,76,A2,282,73,4,69.0012866,NSE4,PUBLICAR,NO
367927,TI,COLOMBIA,F,10/03/2002,SB11201820113891,COLOMBIA,No,-,3 a 4,Si,Si,Si,11 A 25 LIBROS,Más de 2 horas,Más de 3 horas,171736,GIMNASIO CAMPESTRE LA CONSOLATA,MIXTO,NO OFICIAL,A,-,ACADÉMICO,GIMNASIO CAMPESTRE LA CONSOLATA,S,URBANO,COMPLETA,17001,MANIZALES,N,62,82,3,49,46,2,52,61,2,57,75,3,72,95,B1,282,73,4,67.42571814,NSE4,PUBLICAR,NO
367975,TI,COLOMBIA,F,26/03/2002,SB11201820428824,COLOMBIA,Si,Estrato 2,9 o más,No,Si,Si,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,69773,INSTITUCION EDUCATIVA OBISPO,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA OBISPO - SEDE PRINCIPAL,S,RURAL,COMPLETA,17777,SUPÍA,N,31,1,1,39,19,2,43,28,2,37,20,1,56,72,A1,195,14,2,48.08797712,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
368011,TI,COLOMBIA,F,04/03/2001,SB11201820063354,COLOMBIA,No,Estrato 1,3 a 4,No,Si,Si,26 A 100 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,71563,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,MAÑANA,17777,SUPÍA,N,48,34,2,41,24,2,40,21,1,41,32,2,42,23,A-,212,25,2,45.71748227,NSE2,PUBLICAR,NO
368020,TI,COLOMBIA,F,25/06/2000,SB11201820375492,COLOMBIA,No,Estrato 1,5 a 6,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,177667,COLEGIO BOSTON,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COLEGIO BOSTON - SEDE PRINCIPAL,S,URBANO,SABATINA,17001,MANIZALES,N,45,24,2,34,10,1,31,3,1,34,11,1,34,5,A-,179,7,3,55.73781776,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
